"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,Navegação,Seguimentos,"Cliques no link","Toques em figurinhas"
18133917247540483,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Máscara capilar Tsubaki Pink premium repair 180 gr GS 158.000 mil OBS: Producto sujeto a cambio de precio sin previo aviso",8,"04/11/2026 05:37",https://www.instagram.com/stories/megaelectronicosparaguay/3872945017766253767,"Story do Instagram",,Total,1487,1360,3,0,1,0,1348,,,
18094324076175292,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Acondicionador Tsubaki Premium moist & repair 300 ml GS 150.OOO mil OBS: Precio sujeto a cambio sin previo aviso",10,"04/11/2026 05:28",https://www.instagram.com/stories/megaelectronicosparaguay/3872940717941967485,"Story do Instagram",,Total,1551,1376,6,2,1,0,1394,,,
18369427066165535,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","son tratamientos de salón que podes usar en tu casa!💖 Está es la línea capilar de TSUBAKI 🌸",7,"04/11/2026 05:23",https://www.instagram.com/stories/megaelectronicosparaguay/3872937954256345480,"Story do Instagram",,Total,1619,1426,6,0,2,0,1381,,,
18458036260110429,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Ya pasaste a degustar estas delicias? Hoy @quanta.cd nos mima un poco🥰",21,"04/11/2026 05:13",https://www.instagram.com/stories/megaelectronicosparaguay/3872932944277663947,"Story do Instagram",,Total,2152,1857,7,2,1,0,1647,,,
18100295029955123,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,0,"04/11/2026 05:08",https://www.instagram.com/stories/megaelectronicosparaguay/3872930485064944177,"Story do Instagram",,Total,1911,1630,14,0,7,1,1726,,,9
17987968133795530,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Los produtos capilares que todas merecemos!✨",12,"04/10/2026 12:22",https://www.instagram.com/stories/megaelectronicosparaguay/3872424331540933044,"Story do Instagram",,Total,1422,1256,5,0,4,1,1364,,14,
18393917800156939,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Mira la linea de Mixsoon aqui 👇🏽",15,"04/10/2026 12:14",https://www.instagram.com/stories/megaelectronicosparaguay/3872420250793477035,"Story do Instagram",,Total,1642,1443,7,1,13,1,1408,,12,
17973410102864957,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,21,"04/10/2026 07:31",https://www.instagram.com/stories/megaelectronicosparaguay/3872277611901335696,"Story do Instagram",,Total,1381,1236,6,1,8,0,1340,,,
18100224268791659,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,16,"04/10/2026 07:30",https://www.instagram.com/stories/megaelectronicosparaguay/3872277384863649446,"Story do Instagram",,Total,1416,1269,5,0,,0,1359,,,
17970126924045400,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,26,"04/10/2026 07:27",https://www.instagram.com/stories/megaelectronicosparaguay/3872276439979218375,"Story do Instagram",,Total,1477,1292,5,0,,0,1438,,,
18088744583244357,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Xiaomi Redmi Note 15 de 128GB GS. 1.230.000",13,"04/10/2026 07:20",https://www.instagram.com/stories/megaelectronicosparaguay/3872272143988547055,"Story do Instagram",,Total,2816,2113,7,1,3,0,1395,,8,
18099243845284221,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Celular Xiaomi Redmi A5 de 128GB  GS. 757.000 OBS: Valor sujeto a alteración sin previo aviso",19,"04/10/2026 06:59",https://www.instagram.com/stories/megaelectronicosparaguay/3872261785508840113,"Story do Instagram",,Total,1503,1343,7,1,,0,1435,,,
17887947381355114,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","GS. 868.000 Celular Xiaomi Poco C85 de 128GB OBS: Valor sujeto a alteración sin previo aviso",25,"04/10/2026 06:46",https://www.instagram.com/stories/megaelectronicosparaguay/3872255963907173341,"Story do Instagram",,Total,1564,1368,8,1,3,0,1488,,,
