"Identificação da Página","Nome da Página","Comentário de dados",Data,"Ganhos estimados (USD)","Ganhos estimados por Vídeo (USD)","Ganhos estimados com Estrelas (USD)","Visualizações monetizáveis do vídeo por no mínimo 1 minuto","RPM de visualização monetizável","CPM do anúncio (USD)","Engajamentos de usuário único","Feedbacks negativos gerais","Feedbacks negativos gerais: Ocultar tudo","Feedbacks negativos gerais: Ocultar","Feedbacks negativos gerais: Denunciar como spam","Feedbacks negativos gerais: Descurtir Página","Feedbacks negativos gerais: Clique no botão ""X""","Feedbacks negativos únicos dos usuários"
606604395858804,"Mega Eletrônicos Paraguai",,02/16/2026,0,0,0,0,0,0,55,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/17/2026,0,0,0,0,0,0,55,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/18/2026,0,0,0,0,0,0,47,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/19/2026,0,0,0,0,0,0,46,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/20/2026,0,0,0,0,0,0,46,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/21/2026,0,0,0,0,0,0,54,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/22/2026,0,0,0,0,0,0,51,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/23/2026,0,0,0,0,0,0,68,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/24/2026,0,0,0,1,0,0,50,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/25/2026,0,0,0,1,0,0,70,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/26/2026,0,0,0,3,0,0,103,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/27/2026,0,0,0,0,0,0,91,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/28/2026,0,0,0,0,0,0,75,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/01/2026,0,0,0,2,0,0,75,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/02/2026,0,0,0,1,0,0,69,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/03/2026,0,0,0,2,0,0,53,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/04/2026,0,0,0,0,0,0,62,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/05/2026,0,0,0,0,0,0,68,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/06/2026,0,0,0,1,0,0,50,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/07/2026,0,0,0,0,0,0,63,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/08/2026,0,0,0,0,0,0,64,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/09/2026,0,0,0,0,0,0,45,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/10/2026,0,0,0,0,0,0,47,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/11/2026,0,0,0,0,0,0,41,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/12/2026,0,0,0,0,0,0,53,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/13/2026,0,0,0,0,0,0.47,65,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/14/2026,0,0,0,0,0,0,99,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/15/2026,0,0,0,0,0,0,100,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/16/2026,0,0,0,0,0,0,117,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/17/2026,0,0,0,0,0,0,106,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/18/2026,0,0,0,0,0,0,95,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/19/2026,0,0,0,2,0,0,72,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/20/2026,0,0,0,0,0,0,70,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/21/2026,0,0,0,0,0,0,112,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/22/2026,0,0,0,0,0,0,139,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/23/2026,0,0,0,2,0,1.87,179,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/24/2026,0,0,0,0,0,0,206,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/25/2026,0,0,0,0,0,0,291,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/26/2026,0,0,0,0,0,0,436,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/27/2026,0,0,0,1,0,0,299,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/28/2026,0,0,0,0,0,1.26,296,0,0,0,0,0,0,0
