"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,"Visitas ao perfil",Respostas,Navegação,"Cliques no link","Toques em figurinhas"
18097608398014521,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400657027386903,"Story do Instagram",,Total,6772,5652,13,32,2,12,0,6540,,35
18170443663371783,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400857414410601,"Story do Instagram",,Total,6995,5539,11,3,,11,0,6565,,21
18126211648584512,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Te esperamos até as 16:30 Bom dia pessoal 🥰😉",0,"04/20/2026 04:01",https://www.instagram.com/stories/megaeletronicosoficialpy/3879419394166140091,"Story do Instagram",,Total,6690,5514,24,6,3,14,3,6447,,
18578651077008943,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Corre que hoje tá daquele jeito: loja lotada e ofertas voando 💨🔥",0,"04/20/2026 04:11",https://www.instagram.com/stories/megaeletronicosoficialpy/3879424555424952600,"Story do Instagram",,Total,6279,5516,13,4,4,14,2,5961,,
17893697700446618,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,20,"04/20/2026 04:16",https://www.instagram.com/stories/megaeletronicosoficialpy/3879426997835310489,"Story do Instagram",,Total,6085,5311,8,0,1,26,0,5949,,
18112725628796380,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Dia maravilhoso por aqui 🥰
Loja cheia 💙 aguardamos vocês até as 16:30hs ! @megaelectronicosparaguay",16,"04/20/2026 08:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3879569271991427367,"Story do Instagram",,Total,9384,7728,12,5,1,28,1,6785,,
18062225864411380,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,16,"04/20/2026 10:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3879626466753872733,"Story do Instagram",,Total,7604,6275,22,6,1,11,2,6789,,
18119470309561712,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,14,"04/20/2026 10:57",https://www.instagram.com/stories/megaeletronicosoficialpy/3879629020623652260,"Story do Instagram",,Total,8035,6103,20,17,1,8,6,6108,,
18065611319687991,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Do dia 07 até dia 10 de maio te esperamos 🤩🥰",17,"04/20/2026 11:12",https://www.instagram.com/stories/megaeletronicosoficialpy/3879636407858307726,"Story do Instagram",,Total,7812,6028,27,19,1,12,4,7160,,
18093204344164897,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,10,"04/20/2026 12:09",https://www.instagram.com/stories/megaeletronicosoficialpy/3879665141918758596,"Story do Instagram",,Total,7541,6165,20,1,1,13,2,6827,,
