"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,Navegação,Seguimentos,"Toques em figurinhas","Cliques no link"
17873744169447893,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","A festa continua 🎉 🥳",7,"11/15/2025 06:39",https://www.instagram.com/stories/megaeletronicosoficialpy/3766464450061788184,"Story do Instagram",,Total,5026,4374,19,0,17,3,4374,1,,
17865147636501910,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","O mais queridinho por todos",7,"11/15/2025 06:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3766456901455415796,"Story do Instagram",,Total,5106,4374,10,0,4,1,4774,,,49
18078234139899132,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular Infinix HOT 60 Pro",9,"11/15/2025 06:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3766444803883134087,"Story do Instagram",,Total,5272,4434,14,3,6,1,4974,,,86
18144089896437701,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Notebook Audisat X100",7,"11/15/2025 05:57",https://www.instagram.com/stories/megaeletronicosoficialpy/3766443381057744763,"Story do Instagram",,Total,5328,4478,11,3,2,0,5087,,,45
17867125401417670,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Speaker Audisat X300 Boombox U$ 149.90 - R$ 812.46 preço sujeito a alteração",11,"11/15/2025 05:51",https://www.instagram.com/stories/megaeletronicosoficialpy/3766440529065254858,"Story do Instagram",,Total,5388,4597,18,3,3,1,5003,,,
17912995659239350,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Clima de sábado por aqui… 👀✨",16,"11/15/2025 05:22",https://www.instagram.com/stories/megaeletronicosoficialpy/3766425568276510856,"Story do Instagram",,Total,5371,4655,16,6,6,4,5095,,,
18085576123959789,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,12,"11/15/2025 05:08",https://www.instagram.com/stories/megaeletronicosoficialpy/3766418681279673641,"Story do Instagram",,Total,5234,4613,23,15,4,0,4834,,5,
18081404195281663,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Partiu Mega? 
Aqui é só vibe de festa! 🥳 🥳 🛍️ @megaelectronicosparaguay 🔥",10,"11/15/2025 04:50",https://www.instagram.com/stories/megaeletronicosoficialpy/3766409815225606883,"Story do Instagram",,Total,7584,6425,16,6,6,1,5127,,,
18019047611787042,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/15/2025 04:14",https://www.instagram.com/stories/megaeletronicosoficialpy/3766391617205937133,"Story do Instagram",,Total,5764,5085,20,4,13,0,5387,,2,
18104401267652283,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Sabadouuu ✨ ✨ @megaelectronicosparaguay",11,"11/15/2025 03:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3766383419690419524,"Story do Instagram",,Total,8579,6947,23,1,10,3,5537,,,
18049061876382377,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/15/2025 02:56",https://www.instagram.com/stories/megaeletronicosoficialpy/3766352399305917408,"Story do Instagram",,Total,6738,5739,32,2,20,2,6277,1,,
18063597662161981,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","BOOOORAAAAaaaaa!!! 🛴 @megaelectronicosparaguay",7,"11/14/2025 06:49",https://www.instagram.com/stories/megaeletronicosoficialpy/3765744833483858015,"Story do Instagram",,Total,10161,7840,13,6,25,4,6540,,,
17904319308146512,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Patinete Elétrico Audisat HL08 com Rodas de 8"" até 18 km h - Preto (1 Mês de Garantia) U$ 150.00-R$ 814.50 Valores sujeitos a alterações",11,"11/14/2025 05:47",https://www.instagram.com/stories/megaeletronicosoficialpy/3765713500413985128,"Story do Instagram",,Total,7725,6243,11,34,16,1,6870,,,
18082660640019384,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","U$ 750.00-R$ 4,065.00 Bicicleta Elétrica Audisat E-BIKE V8 com Rodas de 20"" até 45 km h - Preto Cinza ( 1 ano de garantia) Valores sujeitos a alterações",12,"11/14/2025 05:35",https://www.instagram.com/stories/megaeletronicosoficialpy/3765707486813872752,"Story do Instagram",,Total,7742,6381,16,28,12,1,7079,1,,
17948080878056909,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Motivos para deixar a gasolina 🛴💨",4,"11/14/2025 05:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3765701889414497812,"Story do Instagram",,Total,8121,6755,14,1,15,1,6446,2,,
18077651872900730,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/13/2025 15:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3765293397952285917,"Story do Instagram",,Total,6812,5514,15,16,25,5,6352,,15,
18367075816085664,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/13/2025 15:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3765293361520573743,"Story do Instagram",,Total,6791,5653,17,3,9,2,6446,1,2,
18126061984444595,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/13/2025 15:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3765293304478028690,"Story do Instagram",,Total,7391,6013,21,28,23,5,6815,4,14,
18049868414668071,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🔥 🔥 O que vocês gostariam de ver nesta edição do Hack Friday deste ano?",0,"11/13/2025 06:41",https://www.instagram.com/stories/megaeletronicosoficialpy/3765015834298231611,"Story do Instagram",,Total,6704,5737,19,0,27,2,6331,1,,
18047606678699801,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/13/2025 06:27",https://www.instagram.com/stories/megaeletronicosoficialpy/3765008769630718305,"Story do Instagram",,Total,6757,5923,23,3,17,4,6255,,16,
18097061431693183,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/13/2025 06:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3765007218031819053,"Story do Instagram",,Total,6928,5993,27,10,10,1,6367,1,18,
17953624464042297,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,15,"11/13/2025 06:21",https://www.instagram.com/stories/megaeletronicosoficialpy/3765005591665295162,"Story do Instagram",,Total,6922,6054,19,2,2,0,6790,3,,
18337097134224991,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","U$ 160.00-R$ 864.00",0,"11/13/2025 05:35",https://www.instagram.com/stories/megaeletronicosoficialpy/3764982914741266541,"Story do Instagram",,Total,7235,6147,20,2,15,2,6951,,,
18052522382654319,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","U$ 189.00-R$ 1,016.82",0,"11/13/2025 05:35",https://www.instagram.com/stories/megaeletronicosoficialpy/3764982586729906041,"Story do Instagram",,Total,7557,6328,17,0,7,1,7260,,,
18514129930067786,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","U$ 67.00-R$ 360.46",0,"11/13/2025 05:33",https://www.instagram.com/stories/megaeletronicosoficialpy/3764981716436982628,"Story do Instagram",,Total,7945,6538,16,11,8,1,7378,,,
18063531245452709,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Esperamos por vocês até às 16:30 hs  Cotação de hoje: R$ 5.38 🇧🇷",7,"11/13/2025 05:26",https://www.instagram.com/stories/megaeletronicosoficialpy/3764978015920001084,"Story do Instagram",,Total,8543,7076,24,13,27,5,7437,1,,
18030995912738035,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/12/2025 11:27",https://www.instagram.com/stories/megaeletronicosoficialpy/3764435201679262475,"Story do Instagram",,Total,6246,5367,10,4,36,2,5972,2,,
17901526395166956,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Oficialmente começou a contagem regressiva, faltam apenas 20 ao 23 de novembro  8 dias! 🎭 ⏳",30,"11/12/2025 10:18",https://www.instagram.com/stories/megaeletronicosoficialpy/3764400442391511923,"Story do Instagram",,Total,9569,8175,28,21,22,7,6016,4,,
18002807102674762,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,18,"11/12/2025 03:17",https://www.instagram.com/stories/megaeletronicosoficialpy/3764188380226742557,"Story do Instagram",,Total,6406,5426,18,27,23,4,5995,4,,
18117907870548786,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/12/2025 03:17",https://www.instagram.com/stories/megaeletronicosoficialpy/3764188334139746993,"Story do Instagram",,Total,6397,5537,9,5,1,2,6118,,,
18097702666809022,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/12/2025 03:17",https://www.instagram.com/stories/megaeletronicosoficialpy/3764188331589620842,"Story do Instagram",,Total,6496,5622,12,1,3,0,6311,,,
18352110160160848,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/12/2025 03:17",https://www.instagram.com/stories/megaeletronicosoficialpy/3764188331849664018,"Story do Instagram",,Total,6891,5717,14,5,6,0,6701,,,
18086594380940380,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/12/2025 03:17",https://www.instagram.com/stories/megaeletronicosoficialpy/3764188331698627624,"Story do Instagram",,Total,7284,5892,15,7,4,0,6980,1,,
18086226743075719,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Hoje o assunto é Aiwa! 💥 🔊",0,"11/12/2025 03:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3764183168720117345,"Story do Instagram",,Total,7886,6367,18,1,31,1,7183,1,,
17986752629912428,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Notebook Audisat X100 15.6"" Intel Core i3-1000NGA de 1.10GHz 16GB RAM 256GB SSD - Preto (1 Ano de Garantia) U$ 269.90-R$ 1,460.16 Preço sujeito a alterações  O Notebook Audisat X100 15.6"" une desempenho e design moderno com o processador Intel Core i3 Quad Core de 1.10GHz e tela Full HD. Vem com Windows 11 Pro, teclado retroiluminado, sensor de impressão digital e webcam com tampa de proteção, garantindo produtividade e segurança em cada uso. Com conectividade Wi-Fi e Bluetooth e diversas interfaces (USB, HDMI e USB-C), é a escolha perfeita para trabalho, estudos e entretenimento.",0,"11/11/2025 05:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3763527489617507490,"Story do Instagram",,Total,7319,6199,17,18,58,3,6863,,,
